ticker,exchange,assetType,priceCurrency,startDate,endDate
TMCGX,NMFQS,Mutual Fund,USD,1999-01-04,2020-11-27
TMCI1,NASDAQ,Stock,USD,,
TMCIX,NMFQS,Mutual Fund,USD,1996-06-20,2020-11-27
TMCJX,NMFQS,Mutual Fund,USD,2007-05-14,2020-11-27
TMCLX,NMFQS,Mutual Fund,USD,2014-01-02,2020-11-27
TMCOX,NMFQS,Mutual Fund,USD,2010-01-04,2017-01-26
TMCPX,NMFQS,Mutual Fund,USD,2003-01-03,2020-11-27
TMCS,,Stock,USD,,
TMCTX,NMFQS,Mutual Fund,USD,2006-04-24,2020-11-27
TMCV,OTCGREY,Stock,USD,2016-01-22,2020-11-27
TMCVP,PINK,Stock,USD,2009-07-31,2019-05-24
TMCVX,NMFQS,Mutual Fund,USD,2020-02-28,2020-11-27
